iter	Passed	Remaining
0	58	58542
1	60	30170
2	61	20344
3	61	15405
4	62	12456
5	63	10474
6	63	9065
7	64	8011
8	65	7198
9	66	6540
10	66	6003
11	67	5549
12	67	5158
13	68	4829
14	69	4542
15	69	4295
16	70	4078
17	71	3886
18	71	3714
19	72	3562
20	73	3419
21	73	3288
22	74	3170
23	75	3062
24	75	2963
25	76	2876
26	77	2788
27	78	2710
28	78	2636
29	79	2564
30	79	2498
31	80	2437
32	81	2381
33	81	2329
34	82	2280
35	83	2232
36	84	2189
37	84	2148
38	85	2110
39	86	2072
40	87	2036
41	87	2003
42	88	1972
43	89	1942
44	90	1914
45	91	1888
46	92	1866
47	92	1841
48	93	1817
49	94	1793
50	95	1772
51	95	1749
52	96	1729
53	97	1710
54	98	1692
55	99	1671
56	99	1653
57	100	1638
58	101	1620
59	102	1603
60	103	1588
61	103	1572
62	104	1557
63	105	1542
64	106	1526
65	106	1511
66	107	1498
67	108	1484
68	109	1471
69	109	1460
70	110	1449
71	111	1437
72	112	1426
73	113	1415
74	113	1403
75	114	1393
76	115	1382
77	116	1371
78	116	1359
79	117	1348
80	117	1337
81	118	1326
82	118	1312
83	119	1302
84	120	1292
85	120	1283
86	121	1275
87	122	1266
88	123	1259
89	123	1251
90	124	1243
91	125	1234
92	125	1226
93	126	1219
94	127	1214
95	128	1207
96	128	1200
97	129	1194
98	130	1188
99	131	1181
100	131	1174
101	132	1168
102	133	1163
103	134	1157
104	135	1152
105	136	1147
106	136	1142
107	137	1136
108	138	1131
109	139	1126
110	140	1121
111	140	1116
112	141	1111
113	142	1106
114	143	1102
115	143	1096
116	144	1091
117	145	1086
118	146	1082
119	146	1076
120	147	1071
121	148	1066
122	148	1060
123	149	1055
124	150	1050
125	150	1046
126	151	1039
127	151	1034
128	152	1030
129	153	1025
130	153	1021
131	154	1016
132	155	1011
133	155	1007
134	156	1002
135	157	998
136	157	993
137	158	990
138	159	985
139	159	981
140	160	977
141	160	972
142	161	969
143	162	965
144	163	961
145	163	958
146	164	955
147	165	952
148	166	949
149	166	946
150	167	942
151	168	940
152	169	938
153	170	936
154	171	935
155	172	933
156	173	930
157	174	928
158	174	925
159	175	921
160	176	917
161	176	914
162	177	911
163	178	908
164	179	906
165	179	903
166	180	901
167	181	898
168	182	895
169	182	891
170	183	889
171	184	886
172	184	883
173	185	880
174	186	877
175	186	874
176	187	870
177	187	867
178	188	864
179	189	861
180	189	858
181	190	855
182	191	852
183	191	849
184	192	847
185	192	844
186	193	841
187	194	838
188	194	835
189	195	833
190	196	830
191	196	827
192	197	824
193	197	822
194	198	819
195	199	816
196	199	814
197	200	812
198	201	809
199	201	806
200	202	804
201	202	801
202	203	799
203	204	796
204	204	794
205	205	791
206	206	789
207	206	787
208	207	784
209	207	782
210	208	779
211	209	777
212	209	775
213	210	773
214	211	771
215	211	768
216	212	766
217	213	764
218	213	762
219	214	760
220	215	758
221	215	756
222	216	754
223	217	752
224	217	750
225	218	748
226	219	746
227	219	744
228	220	742
229	221	740
230	221	738
231	222	736
232	223	734
233	223	732
234	224	730
235	224	728
236	225	725
237	226	723
238	226	721
239	227	719
240	227	717
241	228	715
242	229	713
243	229	711
244	230	710
245	231	708
246	231	706
247	232	704
248	233	702
249	233	700
250	234	699
251	234	697
252	235	695
253	236	693
254	236	691
255	237	690
256	238	688
257	238	686
258	239	685
259	240	683
260	240	681
261	241	680
262	242	678
263	242	677
264	243	676
265	244	675
266	245	673
267	246	672
268	246	670
269	247	668
270	247	666
271	248	665
272	249	663
273	249	661
274	250	660
275	251	658
276	251	657
277	252	655
278	253	653
279	253	652
280	254	650
281	254	649
282	255	647
283	256	645
284	256	644
285	257	642
286	258	641
287	258	639
288	259	637
289	259	636
290	260	634
291	261	632
292	261	631
293	262	630
294	263	628
295	263	627
296	264	625
297	264	624
298	265	622
299	266	621
300	267	620
301	267	618
302	268	617
303	268	615
304	269	614
305	270	612
306	270	611
307	271	610
308	272	608
309	272	607
310	273	605
311	274	604
312	274	602
313	275	601
314	276	600
315	276	598
316	277	597
317	278	596
318	278	594
319	279	593
320	279	591
321	280	590
322	281	588
323	281	587
324	282	586
325	282	584
326	283	583
327	284	582
328	284	580
329	285	579
330	285	578
331	286	576
332	287	575
333	287	574
334	288	572
335	289	571
336	289	570
337	290	569
338	291	567
339	291	566
340	292	565
341	293	563
342	293	562
343	294	561
344	294	559
345	295	558
346	296	557
347	296	555
348	297	554
349	297	553
350	298	552
351	299	551
352	299	549
353	300	548
354	301	547
355	301	545
356	302	544
357	302	543
358	303	542
359	304	540
360	304	539
361	305	538
362	306	537
363	306	535
364	307	534
365	307	533
366	308	532
367	309	531
368	309	529
369	310	528
370	311	527
371	311	526
372	312	524
373	312	523
374	313	522
375	314	521
376	314	520
377	315	518
378	316	517
379	316	516
380	317	515
381	317	514
382	318	513
383	319	511
384	319	510
385	320	509
386	321	509
387	322	508
388	323	507
389	323	506
390	324	505
391	325	504
392	325	503
393	326	501
394	326	500
395	327	499
396	328	498
397	328	497
398	329	496
399	330	495
400	330	494
401	331	493
402	332	491
403	332	490
404	333	489
405	333	488
406	334	487
407	335	486
408	335	485
409	336	483
410	336	482
411	337	481
412	338	480
413	338	479
414	339	478
415	339	477
416	340	476
417	341	475
418	341	474
419	342	473
420	343	471
421	343	470
422	344	469
423	344	468
424	345	467
425	346	466
426	346	465
427	347	464
428	348	463
429	348	462
430	349	461
431	350	460
432	350	459
433	351	458
434	351	457
435	352	456
436	353	455
437	353	454
438	354	453
439	355	451
440	355	450
441	356	449
442	356	448
443	357	447
444	358	446
445	358	445
446	359	444
447	360	444
448	361	443
449	361	442
450	362	440
451	362	439
452	363	438
453	364	437
454	364	436
455	365	435
456	365	434
457	366	434
458	367	432
459	367	431
460	368	430
461	369	429
462	369	428
463	370	427
464	370	426
465	371	425
466	372	424
467	372	423
468	373	422
469	374	421
470	374	420
471	375	419
472	375	418
473	376	417
474	377	416
475	377	415
476	378	414
477	378	413
478	379	412
479	380	411
480	380	410
481	381	409
482	381	408
483	382	407
484	383	406
485	383	405
486	384	404
487	384	403
488	385	402
489	386	401
490	386	401
491	387	400
492	388	399
493	388	398
494	389	397
495	389	396
496	390	395
497	391	394
498	391	393
499	392	392
500	392	391
501	393	390
502	394	389
503	394	388
504	395	387
505	395	386
506	396	385
507	397	384
508	397	383
509	398	382
510	399	382
511	399	381
512	400	380
513	401	379
514	401	378
515	402	377
516	402	376
517	403	375
518	404	374
519	404	373
520	405	372
521	406	371
522	406	370
523	407	369
524	407	368
525	408	368
526	409	367
527	409	366
528	410	365
529	410	364
530	411	363
531	412	362
532	412	361
533	413	360
534	413	359
535	414	358
536	415	357
537	415	357
538	416	356
539	417	355
540	417	354
541	418	353
542	418	352
543	419	351
544	420	350
545	420	350
546	421	349
547	422	348
548	422	347
549	423	346
550	424	345
551	424	344
552	425	343
553	425	342
554	426	341
555	427	341
556	427	340
557	428	339
558	428	338
559	429	337
560	430	336
561	430	335
562	431	334
563	431	333
564	432	333
565	433	332
566	433	331
567	434	330
568	435	329
569	435	328
570	436	328
571	437	327
572	437	326
573	438	325
574	438	324
575	439	323
576	440	322
577	440	321
578	441	321
579	442	320
580	442	319
581	443	318
582	443	317
583	444	316
584	445	315
585	445	314
586	446	313
587	446	313
588	447	312
589	448	311
590	448	310
591	449	309
592	449	308
593	450	307
594	450	306
595	451	306
596	452	305
597	452	304
598	453	303
599	454	302
600	454	301
601	455	301
602	455	300
603	456	299
604	457	298
605	457	297
606	458	296
607	458	295
608	459	295
609	460	294
610	460	293
611	461	292
612	462	291
613	462	291
614	463	290
615	464	289
616	464	288
617	465	287
618	466	287
619	466	286
620	467	285
621	468	284
622	468	283
623	469	282
624	469	281
625	470	281
626	471	280
627	471	279
628	472	278
629	473	277
630	473	277
631	474	276
632	474	275
633	475	274
634	476	273
635	476	272
636	477	271
637	477	271
638	478	270
639	479	269
640	479	268
641	480	267
642	481	267
643	481	266
644	482	265
645	483	264
646	483	263
647	484	263
648	485	262
649	485	261
650	486	260
651	487	259
652	487	259
653	488	258
654	488	257
655	489	256
656	490	255
657	490	255
658	491	254
659	491	253
660	492	252
661	493	251
662	493	251
663	494	250
664	495	249
665	496	248
666	496	247
667	497	247
668	498	246
669	498	245
670	499	244
671	500	244
672	500	243
673	501	242
674	501	241
675	502	240
676	502	239
677	503	239
678	503	238
679	504	237
680	505	236
681	505	235
682	506	234
683	506	234
684	507	233
685	507	232
686	508	231
687	508	230
688	509	229
689	509	229
690	511	228
691	512	227
692	512	227
693	513	226
694	513	225
695	514	224
696	515	223
697	515	223
698	516	222
699	517	221
700	517	220
701	518	220
702	518	219
703	519	218
704	520	217
705	520	216
706	521	216
707	522	215
708	522	214
709	523	213
710	523	212
711	524	212
712	524	211
713	525	210
714	526	209
715	526	208
716	527	208
717	527	207
718	528	206
719	529	205
720	529	204
721	530	204
722	530	203
723	531	202
724	531	201
725	532	200
726	533	200
727	533	199
728	534	198
729	534	197
730	535	196
731	535	196
732	536	195
733	536	194
734	537	193
735	537	192
736	538	192
737	538	191
738	539	190
739	540	189
740	540	188
741	541	188
742	541	187
743	542	186
744	542	185
745	543	185
746	543	184
747	544	183
748	544	182
749	545	181
750	546	181
751	547	180
752	547	179
753	548	178
754	548	178
755	549	177
756	550	176
757	550	175
758	551	174
759	551	174
760	552	173
761	552	172
762	553	171
763	553	171
764	554	170
765	554	169
766	555	168
767	556	167
768	556	167
769	557	166
770	557	165
771	558	164
772	558	164
773	559	163
774	560	162
775	561	161
776	561	161
777	562	160
778	562	159
779	563	158
780	564	158
781	564	157
782	565	156
783	565	155
784	566	155
785	566	154
786	567	153
787	568	152
788	568	152
789	569	151
790	570	150
791	571	149
792	571	149
793	572	148
794	573	147
795	574	147
796	575	146
797	575	145
798	576	145
799	577	144
800	577	143
801	578	142
802	579	142
803	580	141
804	580	140
805	581	139
806	582	139
807	582	138
808	583	137
809	583	136
810	584	136
811	584	135
812	585	134
813	586	133
814	586	133
815	587	132
816	588	131
817	588	130
818	589	130
819	590	129
820	590	128
821	591	128
822	592	127
823	592	126
824	593	125
825	594	125
826	594	124
827	595	123
828	596	122
829	596	122
830	597	121
831	597	120
832	598	119
833	599	119
834	599	118
835	600	117
836	601	117
837	601	116
838	602	115
839	603	114
840	603	114
841	604	113
842	604	112
843	605	111
844	606	111
845	607	110
846	607	109
847	608	109
848	609	108
849	609	107
850	610	106
851	611	106
852	611	105
853	612	104
854	613	103
855	613	103
856	614	102
857	614	101
858	615	101
859	616	100
860	617	99
861	617	98
862	618	98
863	619	97
864	620	96
865	620	96
866	621	95
867	622	94
868	622	93
869	623	93
870	624	92
871	624	91
872	625	90
873	625	90
874	626	89
875	627	88
876	627	88
877	628	87
878	629	86
879	629	85
880	630	85
881	630	84
882	631	83
883	632	82
884	632	82
885	633	81
886	633	80
887	634	80
888	635	79
889	635	78
890	636	77
891	637	77
892	637	76
893	638	75
894	638	74
895	639	74
896	639	73
897	640	72
898	641	72
899	641	71
900	642	70
901	642	69
902	643	69
903	643	68
904	644	67
905	644	66
906	645	66
907	645	65
908	646	64
909	646	63
910	647	63
911	647	62
912	648	61
913	649	61
914	649	60
915	650	59
916	651	59
917	652	58
918	653	57
919	653	56
920	654	56
921	654	55
922	655	54
923	655	53
924	656	53
925	656	52
926	657	51
927	658	51
928	658	50
929	659	49
930	659	48
931	660	48
932	660	47
933	661	46
934	661	46
935	662	45
936	663	44
937	663	43
938	664	43
939	664	42
940	665	41
941	666	41
942	666	40
943	667	39
944	668	38
945	668	38
946	669	37
947	669	36
948	670	36
949	671	35
950	671	34
951	672	33
952	673	33
953	673	32
954	674	31
955	675	31
956	675	30
957	676	29
958	677	28
959	678	28
960	678	27
961	679	26
962	680	26
963	681	25
964	681	24
965	682	24
